id,magnitude,place,country,time,longitude,latitude,depth
us7000tc37,4.6,"106 km ESE of Yujing, Taiwan",Taiwan,2026-08-26 21:47:20 UTC,121.4502,22.8296,42.104
us7000tc21,4.5,"147 km E of Sola, Vanuatu",Vanuatu,2026-08-26 19:50:08 UTC,168.9143,-13.9457,10.0
aka2026qxgqtu,2.6,"28 km NE of Igiugig, Alaska",Alaska,2026-08-26 19:43:19 UTC,-155.501,59.479,0.1
us7000tc1f,4.0,"143 km SSW of Atiquipa, Peru",Peru,2026-08-26 19:29:18 UTC,-74.8729,-16.9936,10.0
us7000tc18,5.6,"209 km ESE of Ōfunato, Japan",Japan,2026-08-26 19:21:42 UTC,143.8447,38.1821,16.05
us7000tc0v,4.4,"270 km WSW of Tual, Indonesia",Indonesia,2026-08-26 19:02:58 UTC,130.3825,-6.2169,132.024
us7000tc0p,4.7,"34 km NNE of Ruteng, Indonesia",Indonesia,2026-08-26 18:34:58 UTC,120.6143,-8.3333,10.0
us7000tc0k,4.9,"42 km NE of Ruteng, Indonesia",Indonesia,2026-08-26 18:23:13 UTC,120.6979,-8.3107,10.0
pr71529998,2.6,"2 km WSW of La Parguera, Puerto Rico",Puerto Rico,2026-08-26 17:49:07 UTC,-67.0646666666667,17.9655,14.12
pr71529973,3.11,"36 km NNE of Arecibo, Puerto Rico",Puerto Rico,2026-08-26 17:24:49 UTC,-66.6293333333333,18.79,51.24
us7000tc80,2.9,"81 km SE of King Cove, Alaska",Alaska,2026-08-26 17:17:31 UTC,-161.3041,54.6192,35.0
us7000tc7z,2.7,"116 km SW of Adak, Alaska",Alaska,2026-08-26 17:14:05 UTC,-178.0146,51.2701,35.0
aka2026qxbglc,2.5,"19 km SW of Point MacKenzie, Alaska",Alaska,2026-08-26 17:02:33 UTC,-150.258,61.25,48.6
us7000tbzn,4.9,"4 km E of Jordán, Colombia",Colombia,2026-08-26 16:45:14 UTC,-73.0596,6.737,159.913
aka2026qwzvfp,2.6,"53 km N of Stevens Village, Alaska",Alaska,2026-08-26 16:18:37 UTC,-148.876,66.48,14.0
aka2026qwyygz,3.2,"Rat Islands, Aleutian Islands, Alaska",Alaska,2026-08-26 15:52:53 UTC,178.614,51.311,26.3
pr71529948,3.42,"75 km N of San Juan, Puerto Rico",Puerto Rico,2026-08-26 15:48:15 UTC,-65.9946666666667,19.1373333333333,15.42
us7000tbyz,4.9,"35 km S of Lata, Solomon Islands",Solomon Islands,2026-08-26 14:25:41 UTC,165.7947,-11.0416,71.191
us7000tbyu,5.0,"54 km NNW of Ende, Indonesia",Indonesia,2026-08-26 14:15:31 UTC,121.5083,-8.3715,10.0
aka2026qwszoq,3.3,"237 km ESE of Attu Station, Alaska",Alaska,2026-08-26 12:53:41 UTC,176.356,51.957,5.0
pr71529898,3.1,"14 km SSE of Esperanza, Puerto Rico",Puerto Rico,2026-08-26 12:28:31 UTC,-65.4286666666667,17.9688333333333,6.16
us7000tbyh,4.5,Drake Passage,Drake Passage,2026-08-26 11:38:21 UTC,-65.3176,-57.4436,10.0
us7000tbyb,4.3,"75 km ENE of Diego de Almagro, Chile",Chile,2026-08-26 10:59:03 UTC,-69.3386,-26.1601,101.064
us7000tby9,4.1,"93 km SSE of Sand Point, Alaska",Alaska,2026-08-26 10:58:09 UTC,-159.9993,54.5458,35.64
us7000tby1,4.6,"126 km NNE of Basco, Philippines",Philippines,2026-08-26 09:51:22 UTC,122.3274,21.5368,10.0
us7000tbxz,4.6,"67 km NNW of Ende, Indonesia",Indonesia,2026-08-26 09:47:34 UTC,121.337,-8.3296,10.0
aka2026qwmqlc,3.1,"233 km ESE of Attu Station, Alaska",Alaska,2026-08-26 09:43:15 UTC,176.301,51.958,10.0
pr2026238000,4.03,"11 km W of San Rafael del Yuma, Dominican Republic",Dominican Republic,2026-08-26 09:42:34 UTC,-68.7866,18.4206,128.0
pr71529843,2.94,"17 km S of Esperanza, Puerto Rico",Puerto Rico,2026-08-26 08:07:14 UTC,-65.4388333333333,17.9435,6.2
pr71529828,2.85,"16 km SSE of Esperanza, Puerto Rico",Puerto Rico,2026-08-26 07:58:53 UTC,-65.4181666666667,17.959,4.25
us7000tbxl,4.7,"82 km NE of Otrada, Russia",Russia,2026-08-26 07:32:17 UTC,146.4404,44.6862,159.458
pr71529878,2.98,"40 km N of Charlotte Amalie, U.S. Virgin Islands",U.S. Virgin Islands,2026-08-26 07:09:18 UTC,-64.9435,18.7078333333333,17.68
aka2026qwhazk,2.6,"187 km SSE of Unalaska, Alaska",Alaska,2026-08-26 06:55:29 UTC,-165.439,52.328,17.8
us7000tbxf,4.8,"147 km E of Miyako, Japan",Japan,2026-08-26 06:54:52 UTC,143.6596,39.7276,10.0
aka2026qwfxwc,2.5,"Rat Islands, Aleutian Islands, Alaska",Alaska,2026-08-26 06:21:47 UTC,177.575,51.736,69.2
us7000tc90,4.2,"55 km NW of Kodāri̇̄, Nepal",Nepal,2026-08-26 06:00:35 UTC,85.515,28.27,0.0
us7000tbx8,4.8,southwest of Africa,southwest of Africa,2026-08-26 05:45:05 UTC,11.6756,-52.7725,10.0
aka2026qweatw,2.6,"116 km ESE of Akutan, Alaska",Alaska,2026-08-26 05:25:20 UTC,-164.119,53.757,18.8
tx2026qtlaoj,3.0,"16 km NW of Mentone, Texas",Texas,2026-08-26 04:59:26 UTC,-103.744,31.793,9.035
aka2026qwdazg,2.9,"291 km W of Adak, Alaska",Alaska,2026-08-26 04:55:34 UTC,179.166,51.593,12.9
aka2026qwclke,2.6,"19 km NE of Sterling, Alaska",Alaska,2026-08-26 04:37:36 UTC,-150.469,60.641,52.3
aka2026qvzppi,3.1,"234 km ESE of Attu Station, Alaska",Alaska,2026-08-26 03:12:29 UTC,176.298,51.94,10.0
aka2026qvzbwa,3.4,"54 km ENE of Pedro Bay, Alaska",Alaska,2026-08-26 02:56:42 UTC,-153.176,59.93,130.6
aka2026qvzbwe,2.8,"233 km ESE of Attu Station, Alaska",Alaska,2026-08-26 02:56:37 UTC,176.273,51.939,10.0
us7000tbwb,5.2,"55 km NW of Kodāri̇̄, Nepal",Nepal,2026-08-26 02:52:10 UTC,85.515,28.271,0.0
us7000tbw6,4.5,"26 km SW of Ashkāsham, Afghanistan",Afghanistan,2026-08-26 02:24:09 UTC,71.3629,36.4889,93.702
us7000tbw5,4.5,"218 km NNE of Lospalos, Timor Leste",Timor Leste,2026-08-26 02:05:46 UTC,127.5468,-6.6192,10.0
